batteryHealth;binId;binStatus;currentFillLevel;latLong;timesTamp
100;CleanFLEX-FB2000002008AC18;Low;0;-33.919555,151.258164;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB62;Low;1;-33.91947,151.257542;2021-09-22 02:00:05
95;CleanFLEX-FB2000002008AC08;Low;17;-33.919477,151.257681;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC07;Low;0;-33.919555,151.258164;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB71;Low;25;-33.922367,151.256956;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC19;Half Full;37;-33.920289,151.257056;2021-09-22 02:00:05
95;CleanFLEX-FB2000002008AC20;Half Full;45;-33.920372,151.257036;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC09;Low;21;-33.919135,151.258104;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC10;Low;0;-33.920227,151.257692;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC04;Half Full;59;-33.919505,151.257857;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC00;Low;0;-33.918951,151.25847;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC13;Low;0;-33.920034,151.257165;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB64;Low;18;-33.920816,151.257022;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB66;Low;22;-33.920944,151.257001;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB67;Low;15;-33.920816,151.257022;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC05;Half Full;43;-33.919505,151.257857;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC01;Low;0;-33.919135,151.258104;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC02;Low;23;-33.920227,151.257692;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC03;Low;21;-33.918951,151.25847;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC17;Low;18;-33.91947,151.257542;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC12;Low;0;-33.919727,151.257213;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB63;Low;8;-33.919505,151.257857;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC07;Low;5;-33.919555,151.258164;2021-09-22 03:00:05
95;CleanFLEX-FB2000002008AC08;Low;17;-33.919477,151.257681;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC14;Half Full;37;-33.920358,151.257167;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC16;Low;17;-33.919477,151.257681;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC15;Low;7;-33.920358,151.257167;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB70;Low;18;-33.919555,151.258164;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB71;Low;25;-33.922367,151.256956;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB69;Half Full;35;-33.920227,151.257692;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB65;Low;16;-33.920944,151.257001;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC18;Low;9;-33.919555,151.258164;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB62;Low;1;-33.91947,151.257542;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC00;Low;20;-33.918951,151.25847;2021-09-22 03:00:05
95;CleanFLEX-FB2000002008AC20;Half Full;41;-33.920372,151.257036;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC19;Half Full;47;-33.920289,151.257056;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC10;Low;13;-33.920227,151.257692;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC09;Low;15;-33.919135,151.258104;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC13;Low;8;-33.920034,151.257165;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB64;Low;19;-33.920816,151.257022;2021-09-22 03:00:05
100;CleanFLEX-FB2000002008AC04;Low;0;-33.919505,151.257857;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB66;Low;23;-33.920944,151.257001;2021-09-22 03:00:05
95;CleanFLEX-FB2000002005AB67;Low;15;-33.920816,151.257022;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC05;Half Full;36;-33.919505,151.257857;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC03;Half Full;50;-33.918951,151.25847;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC02;Low;28;-33.920227,151.257692;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC01;Low;9;-33.919135,151.258104;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC12;Low;3;-33.919727,151.257213;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC17;Low;21;-33.91947,151.257542;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB63;Low;9;-33.919505,151.257857;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB70;Low;19;-33.919555,151.258164;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB71;Low;25;-33.922367,151.256956;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB69;Half Full;36;-33.920227,151.257692;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC15;Low;14;-33.920358,151.257167;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC16;Low;21;-33.919477,151.257681;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC18;Low;16;-33.919555,151.258164;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB65;Low;17;-33.920944,151.257001;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB62;Low;1;-33.91947,151.257542;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC14;Half Full;54;-33.920358,151.257167;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC07;Low;8;-33.919555,151.258164;2021-09-22 04:00:05
95;CleanFLEX-FB2000002008AC08;Low;17;-33.919477,151.257681;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC10;Half Full;44;-33.920227,151.257692;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC19;Half Full;51;-33.920289,151.257056;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC00;Low;21;-33.918951,151.25847;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC04;Low;12;-33.919505,151.257857;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC09;Low;14;-33.919135,151.258104;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC13;Low;10;-33.920034,151.257165;2021-09-22 04:00:05
95;CleanFLEX-FB2000002008AC20;Half Full;37;-33.920372,151.257036;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB64;Low;18;-33.920816,151.257022;2021-09-22 04:00:05
95;CleanFLEX-FB2000002005AB66;Low;23;-33.920944,151.257001;2021-09-22 04:00:05
100;CleanFLEX-FB2000002008AC03;Half Full;52;-33.918951,151.25847;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC01;Low;18;-33.919135,151.258104;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC02;Low;29;-33.920227,151.257692;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC05;Half Full;33;-33.919505,151.257857;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC12;Low;7;-33.919727,151.257213;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC17;Low;23;-33.91947,151.257542;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB67;Low;14;-33.920816,151.257022;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB63;Low;9;-33.919505,151.257857;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC07;Low;10;-33.919555,151.258164;2021-09-22 05:00:03
95;CleanFLEX-FB2000002008AC08;Low;17;-33.919477,151.257681;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC15;Low;17;-33.920358,151.257167;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC16;Low;24;-33.919477,151.257681;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC14;Half Full;56;-33.920358,151.257167;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC18;Low;17;-33.919555,151.258164;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB69;Half Full;37;-33.920227,151.257692;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB70;Low;19;-33.919555,151.258164;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB65;Low;18;-33.920944,151.257001;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB71;Low;25;-33.922367,151.256956;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB62;Low;1;-33.91947,151.257542;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC10;Half Full;49;-33.920227,151.257692;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC00;Low;20;-33.918951,151.25847;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC09;Low;14;-33.919135,151.258104;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC04;Low;20;-33.919505,151.257857;2021-09-22 05:00:03
95;CleanFLEX-FB2000002008AC20;Half Full;37;-33.920372,151.257036;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC19;Half Full;54;-33.920289,151.257056;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC13;Low;12;-33.920034,151.257165;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB64;Low;17;-33.920816,151.257022;2021-09-22 05:00:03
95;CleanFLEX-FB2000002005AB66;Low;24;-33.920944,151.257001;2021-09-22 05:00:03
100;CleanFLEX-FB2000002008AC01;Low;19;-33.919135,151.258104;2021-09-22 06:00:04
100;CleanFLEX-FB2000002008AC02;Half Full;34;-33.920227,151.257692;2021-09-22 06:00:04
100;CleanFLEX-FB2000002008AC05;Half Full;31;-33.919505,151.257857;2021-09-22 06:00:04
100;CleanFLEX-FB2000002008AC03;Half Full;54;-33.918951,151.25847;2021-09-22 06:00:04
100;CleanFLEX-FB2000002008AC12;Low;9;-33.919727,151.257213;2021-09-22 06:00:04
100;CleanFLEX-FB2000002008AC17;Low;24;-33.91947,151.257542;2021-09-22 06:00:04
95;CleanFLEX-FB2000002005AB67;Low;14;-33.920816,151.257022;2021-09-22 06:00:04
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 06:00:04
95;CleanFLEX-FB2000002005AB63;Low;9;-33.919505,151.257857;2021-09-22 06:00:04
100;CleanFLEX-FB2000002008AC15;Low;21;-33.920358,151.257167;2021-09-22 06:00:04
